============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar( 14.3 um) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  195  2 .3670657E+07   1440007E-01 -.1361E+04 -.6950E+03   .9997581 -.0216374 -.0039523
T  196  2 .3672852E+07   1440005E-01 -.4794E+03  .3564E+03   .9999996  .0005704 -.0006409
T  197  2 .3683882E+07   1440011E-01 -.2907E+03  .1332E+04   .9997896 -.0003253  .0205112
T  198  2 .3654314E+07   1440018E-01  .6315E+03  .7340E+02   .9998422  .0146453 -.0100579
T  199  2 .3639745E+07   1440002E-01 -.7783E+03  .3511E+03   .9999271 -.0104095  .0061156
T  200  2 .3715051E+07   1440017E-01 -.1609E+03  .8190E+03   .9998795  .0043550  .0148993
T  201  2 .3695762E+07   1440021E-01  .5357E+03  .1682E+04   .9996751  .0051350  .0249671
T  202  2 .3705732E+07   1440001E-01  .1211E+03 -.1126E+04   .9998176 -.0008769 -.0190797
T  203  2 .3681646E+07   1440012E-01  .1450E+03 -.1580E+03   .9999859 -.0048841 -.0020990
T  204  2 .3698882E+07   1440011E-01  .9719E+03 -.1069E+04   .9999068  .0123151 -.0058999
T  205  2 .3655195E+07   1440020E-01 -.6786E+03 -.8688E+02   .9997770 -.0210887  .0010592
T  206  2 .3719144E+07   1440020E-01  .1300E+03 -.1677E+04   .9998315  .0018933 -.0182575
T  207  2 .3705869E+07   1440004E-01  .2544E+03 -.3925E+03   .9999811  .0036685 -.0049349
T  208  2 .3719528E+07   1440020E-01 -.3749E+03  .1472E+04   .9998198 -.0013023  .0189376
T  209  2 .3723482E+07   1440020E-01  .9315E+02  .8427E+03   .9999474 -.0039538  .0094640
T  210  2 .3666313E+07   1440008E-01  .8616E+02  .1084E+04   .9998940  .0135099  .0054332
T  211  2 .3692826E+07   1440005E-01 -.2297E+04  .5682E+03   .9995206 -.0308422  .0027134
T  212  2 .3657306E+07   1440002E-01 -.6930E+02  .2029E+03   .9999562  .0093468  .0004136
T  213  2 .3723840E+07   1440010E-01 -.8144E+03 -.3905E+03   .9998658 -.0130717 -.0098791
T  214  2 .3649299E+07   1440021E-01  .2031E+04 -.9546E+03   .9998170  .0154683 -.0112540
T  215  2 .3675556E+07   1440003E-01 -.1317E+04  .6001E+01   .9998714 -.0160189  .0007616
T  216  2 .3668291E+07   1440012E-01  .7798E+03  .3123E+03   .9998614  .0157020 -.0055377
T  217  2 .3697072E+07   1440010E-01  .4962E+03 -.1695E+04   .9998762  .0045426 -.0150645
T  218  2 .3649845E+07   1440016E-01 -.5501E+03 -.1074E+03   .9999520 -.0037299  .0090625
T  219  2 .3698342E+07   1440022E-01  .6619E+03 -.3900E+03   .9999778  .0066363  .0005584
T  220  2 .3689493E+07   1440005E-01  .6308E+03  .8704E+03   .9998788  .0151316  .0036698
T  221  2 .3654318E+07   1440009E-01  .3043E+03  .6412E+03   .9999330  .0104132  .0050467
