============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar( 7.19 um) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  193  2 .4649173E+07   7200059E-02 -.1088E+03 -.1087E+03   .9999882 -.0045511 -.0017237
T  194  2 .4656564E+07   7200191E-02 -.2235E+03 -.1198E+03   .9999720 -.0034088 -.0066623
T  195  2 .4652345E+07   7200129E-02  .2056E+03  .2868E+02   .9999659  .0078821  .0024450
T  196  2 .4624736E+07   7200095E-02  .4109E+03  .4277E+03   .9999318  .0105346  .0050369
T  197  2 .4637950E+07   7200075E-02  .4335E+03  .2342E+03   .9999520  .0061547  .0076193
T  198  2 .4649046E+07   7200139E-02  .2145E+03  .7228E+02   .9999948  .0020861 -.0024417
T  199  2 .4644524E+07   7200169E-02  .3843E+03  .1484E+04   .9994402  .0127665  .0309254
T  200  2 .4633087E+07   7200066E-02  .9071E+02  .5999E+03   .9997852  .0006200  .0207151
T  201  2 .4640923E+07   7200066E-02  .3796E+02  .7855E+03   .9994226  .0330248  .0079919
T  202  2 .4639191E+07   7200077E-02 -.1007E+03 -.1917E+03   .9999764 -.0014267 -.0067272
T  203  2 .4654559E+07   7200026E-02  .8932E+02  .3194E+03   .9999808 -.0011488  .0060966
T  204  2 .4653397E+07   7200062E-02  .5653E+02 -.9545E+02   .9999959 -.0019687 -.0020882
T  205  2 .4658946E+07   7200051E-02 -.1582E+03  .5010E+02   .9999836 -.0049578 -.0028726
T  206  2 .4633385E+07   7200002E-02 -.5251E+02  .2502E+03   .9999848 -.0019166  .0051641
T  207  2 .4660395E+07   7200009E-02  .5632E+03  .8610E+02   .9999767  .0038924  .0056061
T  208  2 .4647938E+07   7200196E-02 -.4638E+02 -.1480E+03   .9999927 -.0004466 -.0038014
T  209  2 .4629650E+07   7200137E-02 -.3995E+03  .2699E+03   .9999689 -.0078805 -.0001960
T  210  2 .4652613E+07   7200126E-02 -.6816E+02 -.1128E+03   .9999979 -.0002474 -.0020248
T  211  2 .4643927E+07   7200138E-02  .3692E+02 -.1796E+03   .9999935 -.0035864  .0003297
T  212  2 .4650100E+07   7200204E-02 -.6857E+03 -.2082E+02   .9997500 -.0217294  .0052732
T  213  2 .4643913E+07   7200103E-02  .6231E+03 -.3493E+03   .9999874  .0047273 -.0016890
T  214  2 .4669861E+07   7200045E-02 -.4766E+02  .3266E+02   .9999860 -.0051868 -.0010109
T  215  2 .4653496E+07   7200073E-02  .3659E+03  .1105E+03   .9997327  .0211249  .0093927
T  216  2 .4646329E+07   7200001E-02 -.1384E+01 -.3353E+03   .9999462  .0093635 -.0044577
T  217  2 .4628004E+07   7200002E-02 -.7478E+02  .1043E+03   .9999925 -.0016323 -.0035017
T  218  2 .4638342E+07   7200152E-02  .2403E+02 -.7255E+02   .9999968  .0024063 -.0007275
T  219  2 .4633296E+07   7200025E-02 -.1316E+02  .3199E+03   .9999676 -.0046016  .0065990
T  220  2 .4653970E+07   7200167E-02  .3456E+03  .1080E+03   .9999330  .0109405  .0037782
T  221  2 .4632396E+07   7200146E-02  .1246E+03  .2662E+02   .9999702  .0059810 -.0048872
T  222  2 .4610929E+07   7200212E-02 -.7318E+02  .3323E+02   .9999644 -.0067808 -.0050152
