============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar( 3.59 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  171  2 .5081531E+07   3600142E-02 -.2971E+02  .3297E+01   .9999923 -.0033340 -.0020719
T  172  2 .5081505E+07   3600039E-02 -.1157E+02  .1226E+02   .9999916 -.0028373  .0029642
T  173  2 .5099505E+07   3600124E-02 -.4759E+03  .3913E+03   .9996618 -.0222219  .0135082
T  174  2 .5064548E+07   3600160E-02 -.9535E+01 -.4549E+01   .9999997 -.0005088  .0006436
T  175  2 .5067583E+07   3600172E-02 -.8190E+02  .2007E+03   .9999286 -.0044758  .0110789
T  176  2 .5099854E+07   3600205E-02  .1593E+03 -.1499E+03   .9999686  .0069861 -.0037443
T  177  2 .5066929E+07   3600162E-02 -.3972E+02  .5558E+01   .9999951 -.0031112  .0001610
T  178  2 .5082095E+07   3600197E-02 -.2887E+03  .9878E+02   .9998015 -.0186298  .0070634
T  179  2 .5068902E+07   3600016E-02 -.5316E+02  .3564E+02   .9999979 -.0020460 -.0001604
T  180  2 .5078874E+07   3600006E-02  .3632E+03 -.6178E+02   .9998932  .0143184 -.0029211
T  181  2 .5072721E+07   3600130E-02  .1061E+03  .3219E+02   .9999744  .0070554 -.0011515
T  182  2 .5070170E+07   3600154E-02  .2759E+02 -.9096E+01   .9999941 -.0028093 -.0019530
T  183  2 .5078690E+07   3600086E-02  .9104E+00 -.5165E+01   .9999997  .0000074  .0007636
T  184  2 .5086012E+07   3600044E-02  .9742E+02  .1230E+02   .9999954  .0030263  .0001962
T  185  2 .5076564E+07   3600198E-02 -.1746E+02 -.4740E+02   .9999947  .0003294 -.0032439
T  186  2 .5083869E+07   3600119E-02 -.6706E+02  .1493E+02   .9999933 -.0031578  .0018434
T  187  2 .5083626E+07   3600198E-02  .3211E+03  .4362E+02   .9999294  .0116256  .0024704
